Subzone,PopMale,PopFemale,,,,,,,,Admiralty
SUDONG,-,-,,,,,,,,Sungei Road
SUNGEI ROAD,1020,1030,,,,,,,,Sunset Way
SUNSET WAY,2640,3010,,,,,,,,Swiss Club
SWISS CLUB,2470,2880,,,,,,,,Tagore
TAGORE,3790,4160,,,,,,,,Tai Seng
TAI SENG,6670,7160,,,,,,,,Taman Jurong
TAMAN JURONG,19920,20000,,,,,,,,Tampines East
TAMPINES EAST,63960,67010,,,,,,,,Tampines North
TAMPINES NORTH,3950,4090,,,,,,,,Tampines West
TAMPINES WEST,39150,40510,,,,,,,,Tanglin
TANGLIN,170,210,,,,,,,,Tanglin Halt
TANGLIN HALT,4960,5630,,,,,,,,Tanjong Irau
TANJONG IRAU,-,-,,,,,,,,Tanjong Pagar
TANJONG PAGAR,350,320,,,,,,,,Tanjong Rhu
TANJONG RHU,5230,5880,,,,,,,,Teban Gardens
TEBAN GARDENS,9250,9280,,,,,,,,Teck Whye
TECK WHYE,12190,12140,,,,,,,,Telok Blangah Drive
TELOK BLANGAH DRIVE,9170,10140,,,,,,,,Telok Blangah Rise
TELOK BLANGAH RISE,5740,6420,,,,,,,,Telok Blangah Way
TELOK BLANGAH WAY,4610,4620,,,,,,,,Tengah Industrial Estate
TENGAH INDUSTRIAL ESTATE,-,-,,,,,,,,Tengeh
TENGEH,-,-,,,,,,,,The Wharves
THE WHARVES,-,-,,,,,,,,Tiong Bahru
TIONG BAHRU,5990,6900,,,,,,,,Tiong Bahru Station
TIONG BAHRU STATION,7140,7980,,,,,,,,Toa Payoh Central
TOA PAYOH CENTRAL,12960,15070,,,,,,,,Toa Payoh West
TOA PAYOH WEST,6570,7780,,,,,,,,Toh Guan
TOH GUAN,7230,7360,,,,,,,,Toh Tuck
TOH TUCK,-,-,,,,,,,,Townsville
TOWNSVILLE,9930,11210,,,,,,,,Trafalgar
TRAFALGAR,24950,24240,,,,,,,,Tuas Bay
TUAS BAY,-,-,,,,,,,,Tuas North
TUAS NORTH,-,-,,,,,,,,Tuas Promenade
TUAS PROMENADE,-,-,,,,,,,,Tuas View
TUAS VIEW,-,-,,,,,,,,Tuas View Extension
TUAS VIEW EXTENSION,-,-,,,,,,,,Tukang
TUKANG,-,-,,,,,,,,Turf Club
TURF CLUB,330,340,,,,,,,,Tyersall
TYERSALL,1810,2070,,,,,,,,Ulu Pandan
ULU PANDAN,5280,5740,,,,,,,,Upper Paya Lebar
UPPER PAYA LEBAR,8160,8760,,,,,,,,Upper Thomson
UPPER THOMSON,14160,15230,,,,,,,,Victoria
VICTORIA,840,920,,,,,,,,Waterway East
WATERWAY EAST,25050,25530,,,,,,,,Wenya
WENYA,4170,4110,,,,,,,,West Coast
WEST COAST,3370,3500,,,,,,,,Woodgrove
WOODGROVE,16870,16920,,,,,,,,Woodlands East
WOODLANDS EAST,49490,49500,,,,,,,,Woodlands Regional Centre
WOODLANDS REGIONAL CENTRE,-,-,,,,,,,,Woodlands South
WOODLANDS SOUTH,20540,20470,,,,,,,,Woodlands West
WOODLANDS WEST,17260,16650,,,,,,,,Woodleigh
WOODLEIGH,1200,1260,,,,,,,,Xilin
XILIN,890,880,,,,,,,,Yew Tee
YEW TEE,20100,20280,,,,,,,,Yio Chu Kang
YIO CHU KANG,-,-,,,,,,,,Yio Chu Kang East
YIO CHU KANG EAST,2090,2120,,,,,,,,Yio Chu Kang North
YIO CHU KANG NORTH,-,-,,,,,,,,Yio Chu Kang West
YIO CHU KANG WEST,11520,12630,,,,,,,,Yishun Central
YISHUN CENTRAL,1290,1340,,,,,,,,Yishun East
YISHUN EAST,30030,30640,,,,,,,,Yishun South
YISHUN SOUTH,20670,21580,,,,,,,,Yishun West
YISHUN WEST,26720,27190,,,,,,,,Yuhua East
YUHUA EAST,12120,12650,,,,,,,,Yuhua West
YUHUA WEST,9530,9630,,,,,,,,Yunnan
YUNNAN,34250,33250,,,,,,,,
